,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,away,away,away
teamData,winner,teamHome,teamAway,location,rivalry,datetime,endtime,referees,attendance,neutral,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210180BOS,BOS,BOS,PHI,"TD Garden, Boston, Massachusetts",division,2022-10-18 19:30:00,2022-10-18 21:30:00,"['Ray Acosta', 'James Capers Jr.', 'Brian Forte']",19156,0,24,39,35,28,[],126,0,,"['tatumja01', 'brownja02', 'smartma01', 'whitede01', 'horfoal01', 'willigr01', 'brogdma01', 'vonleno01', 'griffbl01', 'hausesa01', 'davisjd01', 'jacksju01', 'kabenmf01', 'kornelu01', 'pritcpa01']","[0, 0]",0,175835595,13525815.0,0,29,34,25,29,[],117,0,,"['maxeyty01', 'hardeja01', 'embiijo01', 'harrito02', 'tuckepj01', 'meltode01', 'houseda01', 'niangge01', 'harremo01', 'thybuma01', 'korkmfu01', 'sprinja01', 'miltosh01', 'reedpa01']","[0, 0]",0,184598945,13185638.92857143,0
202210180GSW,GSW,GSW,LAL,"Chase Center, San Francisco, California",division,2022-10-18 22:00:00,2022-10-19 00:00:00,"['Tony Brothers', 'Rodney Mott', 'Scott Twardoski']",18064,0,25,34,32,32,[],123,0,,"['curryst01', 'wiggian01', 'greendr01', 'looneke01', 'thompkl01', 'poolejo01', 'greenja01', 'divindo01', 'wisemja01', 'kuminjo01', 'moodymo01', 'rolliry01', 'baldwpa01']","[0, 0]",0,249800638,19215433.692307692,0,22,30,19,38,[],109,0,,"['davisan02', 'jamesle01', 'westbru01', 'walkelo01', 'beverpa01', 'nunnke01', 'ryanma01', 'reaveau01', 'toscaju01', 'gabriwe01', 'chrisma02', 'pippesc02', 'swideco01', 'jonesda03']","[0, 0]",0,183874326,15322860.5,0
202210190DET,DET,DET,ORL,"Little Caesars Arena, Detroit, Michigan",conference,2022-10-19 19:00:00,2022-10-19 21:00:00,"['Sean Corbin', 'Mousa Dagher', 'David Guthrie']",20190,0,17,40,34,22,[],113,0,,"['cunnica01', 'bogdabo02', 'iveyja01', 'beysa01', 'stewais01', 'durenja01', 'hayeski01', 'josepco01', 'diallha01', 'knoxke01', 'noelne01', 'boehebu01', 'keybr01', 'mcgruro01']","[0, 0]",0,92190357,7682529.75,0,28,27,28,26,[],109,0,,"['banchpa01', 'wagnefr01', 'cartewe01', 'rosste01', 'suggsja01', 'houstca01', 'okekech01', 'bolbo01', 'bambamo01', 'hamptrj01', 'anthoco01', 'harrike01', 'schofad01']","[0, 0]",0,83594486,7599498.7272727275,0
202210190IND,WAS,IND,WAS,"Gainbridge Fieldhouse, Indianapolis, Indiana",conference,2022-10-19 19:00:00,2022-10-19 21:00:00,"['Brent Barnaky', 'Scott Foster', 'Ashley Moyer-Gleich']",15027,0,25,27,25,30,[],107,0,,"['halibty01', 'hieldbu01', 'taylote01', 'smithja04', 'duartch01', 'mathube01', 'nesmiaa01', 'mccontj01', 'jacksis01', 'brissos01', 'bitadgo01', 'johnsja01', 'turnemy01', 'nembhan01', 'brownke03']","[0, 0]",0,95428355,6816311.071428572,0,36,24,27,27,[],114,0,,"['bealbr01', 'kuzmaky01', 'porzikr01', 'morrimo01', 'avdijde01', 'wrighde01', 'bartowi01', 'hachiru01', 'gaffoda01', 'gillan01', 'davisjo06', 'toddis01', 'gibsota01', 'schakjo01', 'goodwjo01']","[0, 0]",0,177996709,13692054.538461538,0
202210190ATL,ATL,ATL,HOU,"State Farm Arena, Atlanta, Georgia",none,2022-10-19 19:30:00,2022-10-19 21:30:00,"['Ed Malloy', 'Jenna Reneau', 'Ben Taylor']",17878,0,26,33,25,33,[],117,0,,"['murrade01', 'youngtr01', 'collijo01', 'huntede01', 'capelca01', 'okongon01', 'holidju01', 'holidaa01', 'johnsja05', 'kaminfr01', 'forretr01', 'krejcvi01', 'martity01', 'griffaj01', 'culveja01']","[0, 0]",0,172697561,13284427.76923077,0,20,30,30,27,[],107,0,,"['porteke02', 'smithja05', 'greenja05', 'gordoer01', 'fernabr01', 'martike04', 'sengual01', 'easonta01', 'mathega01', 'chrisjo01', 'hudgitr01', 'marjabo01', 'garubus01']","[0, 0]",0,94344086,7862007.166666667,0
202210190BRK,NOP,BRK,NOP,"Barclays Center, Brooklyn, New York",none,2022-10-19 19:30:00,2022-10-19 21:30:00,"['John Butler', 'Tre Maddox', 'Kevin Scott']",18003,0,14,36,28,30,[],108,0,,"['irvinky01', 'onealro01', 'duranke01', 'claxtni01', 'simmobe01', 'millspa02', 'sharpda01', 'sumneed01', 'thomaca02', 'watanyu01', 'edwarke02', 'morrima02', 'dukeda01', 'willial06']","[0, 0]",0,172904643,14408720.25,0,32,26,40,32,[],130,0,,"['mccolcj01', 'ingrabr01', 'willizi01', 'joneshe01', 'valanjo01', 'murphtr02', 'nancela02', 'alvarjo01', 'grahade01', 'marshna01', 'daniedy01', 'seabrde01', 'templga01', 'hayesja02', 'hernawi01']","[0, 0]",0,183249758,13089268.42857143,0
202210190MEM,MEM,MEM,NYK,"FedEx Forum, Memphis, Tennessee",none,2022-10-19 19:30:00,2022-10-19 22:00:00,"['Curtis Blair', 'Dedric Taylor', 'Zach Zarba']",18202,0,25,36,24,23,[7],115,0,,"['aldamsa01', 'moranja01', 'banede01', 'konchjo01', 'adamsst01', 'jonesty01', 'clarkbr01', 'tillmxa01', 'roddyda01', 'laravja01', 'willivi01', 'chandke01', 'loftoke01']","[0, 0]",0,111073639,10097603.545454545,0,23,23,33,29,[4],112,0,,"['barrerj01', 'brunsja01', 'randlju01', 'fournev01', 'robinmi01', 'harteis01', 'reddica01', 'quickim01', 'toppiob01', 'rosede01', 'simsje01', 'mykhasv01', 'arcidry01', 'mcbrimi01', 'huntfe01']","[0, 0]",0,164356742,11739767.285714285,0
202210190MIA,CHI,MIA,CHI,"FTX Arena, Miami, Florida",conference,2022-10-19 19:30:00,2022-10-19 21:30:00,"['John Conley', 'John Goble', 'Aaron Smith']",19600,0,33,26,27,22,[],108,0,,"['butleji01', 'lowryky01', 'herroty01', 'adebaba01', 'martica02', 'strusma01', 'vincega01', 'dedmode01', 'robindu01', 'highsha01', 'jovicni01', 'smithdr01', 'hasleud01']","[0, 0]",0,195346452,16278871.0,0,28,31,37,20,[],116,0,,"['dosunay01', 'derozde01', 'vucevni01', 'carusal01', 'willipa01', 'whiteco01', 'dragigo01', 'greenja02', 'drumman01', 'terryda01', 'simonma01', 'jonesde02', 'bradlto01', 'hillma01']","[0, 0]",0,98946653,7611281.0,0
