,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,away,away,away
teamData,winner,teamHome,teamAway,location,rivalry,datetime,endtime,referees,attendance,neutral,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610250CLE,CLE,CLE,NYK,"Quicken Loans Arena, Cleveland, Ohio",conference,2016-10-25 19:30:00,2016-10-25 19:30:00,"['Bennie Adams', 'Bill Kennedy', 'Karl Lane']",20562,0,28,20,34,35,[],117,0,,"['jamesle01', 'irvinky01', 'smithjr01', 'loveke01', 'thomptr01', 'jefferi01', 'dunlemi02', 'fryech01', 'shumpim01', 'liggide01', 'mcraejo01', 'anderch01', 'jonesja02']","[0, 0]",0,1421700288,109361560.6,0,18,27,19,24,[],88,0,,"['porzikr01', 'anthoca01', 'rosede01', 'leeco01', 'noahjo01', 'holidju01', 'jennibr01', 'thomala01', 'oquinky01', 'hernawi01', 'kuzmimi01', 'bakerro01', 'vujacsa01']","[0, 0]",0,904974281,69613406.23,0
201610250GSW,SAS,GSW,SAS,"Oracle Arena, Oakland, California",conference,2016-10-25 22:30:00,2016-10-25 22:30:00,"['Dan Crawford', 'Pat Fraher', 'Tre Maddox']",19596,0,20,26,31,23,[],100,0,,"['duranke01', 'curryst01', 'thompkl01', 'greendr01', 'pachuza01', 'iguodan01', 'clarkia01', 'livinsh01', 'westda01', 'mccawpa01', 'mcgeeja01', 'looneke01', 'varejan01']","[0, 0]",0,1471390599,113183892.2,0,31,33,33,32,[],129,0,,"['aldrila01', 'leonaka01', 'parketo01', 'anderky01', 'gasolpa01', 'simmojo02', 'ginobma01', 'millspa02', 'dedmode01', 'leeda02', 'bertada01', 'forbebr01', 'laproni01']","[0, 0]",0,1253097220,96392093.85,0
201610250POR,POR,POR,UTA,"Moda Center, Portland, Oregon",division,2016-10-25 22:00:00,2016-10-25 22:00:00,"['Tony Brown', 'Nick Buchert', 'Mike Callahan']",19446,0,26,28,23,36,[],113,0,,"['lillada01', 'mccolcj01', 'aminual01', 'harklma01', 'plumlma01', 'crabbal01', 'turneev01', 'davised01', 'vonleno01', 'leoname01', 'napiesh01', 'laymaja01', 'connapa01']","[0, 0]",0,873054520,67158040.0,0,26,20,37,21,[],104,0,,"['goberru01', 'hillge01', 'hoodro01', 'diawbo01', 'johnsjo02', 'lylestr01', 'macksh01', 'inglejo01', 'exumda01', 'witheje01', 'netora01', 'favorde01', 'bolomjo01']","[0, 0]",0,867720136,66747702.77,0
201610260BOS,BOS,BOS,BRK,"TD Garden, Boston, Massachusetts",division,2016-10-26 19:30:00,2016-10-26 19:30:00,"['Marc Davis', 'Brian Forte', 'J.T. Orr']",18624,0,33,31,33,25,[],122,0,,"['bradlav01', 'thomais02', 'crowdja01', 'horfoal01', 'johnsam01', 'roziete01', 'brownja02', 'jerebjo01', 'zellety01', 'greenge01', 'youngja01', 'mickejo01', 'jacksde01']","[0, 0]",0,702542893,54041761.0,0,31,27,23,36,[],117,0,,"['linje01', 'booketr01', 'holliro01', 'bogdabo02', 'lopezbr01', 'hamilju01', 'harrijo01', 'kilpase01', 'scolalu01', 'vasqugr01', 'whiteis01', 'mcculch01', 'bennean01']","[0, 0]",0,530787872,40829836.31,0
201610260IND,IND,IND,DAL,"Bankers Life Fieldhouse, Indianapolis, Indiana",none,2016-10-26 19:00:00,2016-10-26 19:00:00,"['Tyler Ford', 'Bill Kennedy', 'Josh Tiven']",17923,0,33,26,35,21,[],130,0,,"['ellismo01', 'georgpa01', 'turnemy01', 'teaguje01', 'youngth01', 'stuckro01', 'milescj01', 'jeffeal01', 'allenla01', 'robingl02', 'youngjo01', 'serapke01', 'brookaa01']","[0, 0]",0,934962660,71920204.62,0,21,31,33,30,[],121,0,,"['willide01', 'matthwe02', 'nowitdi01', 'barneha02', 'bogutan01', 'bareajo01', 'anderju01', 'poweldw01', 'curryse01', 'acyqu01', 'brussni01', 'finnedo01', 'mejrisa01']","[0, 0]",0,964369332,74182256.31,0
201610260LAL,LAL,LAL,HOU,"STAPLES Center, Los Angeles, California",conference,2016-10-26 22:30:00,2016-10-26 22:30:00,"['Kevin Cutler', 'John Goble', 'Gary Zielinski']",18997,0,38,25,27,30,[],120,0,,"['randlju01', 'russeda01', 'denglu01', 'youngni01', 'mozgoti01', 'clarkjo01', 'ingrabr01', 'nancela02', 'willilo02', 'blackta01', 'huertma01', 'artesro01', 'robinth01']","[0, 0]",0,864610828,66508525.23,0,38,33,25,18,[],114,0,,"['hardeja01', 'gordoer01', 'anderry01', 'arizatr01', 'capelca01', 'hilarne01', 'breweco01', 'dekkesa01', 'mcdankj01', 'ennisty01', 'wiltjky01', 'harremo01', 'brownbo02']","[0, 0]",0,982492974,75576382.62,0
201610260MEM,MEM,MEM,MIN,"FedEx Forum, Memphis, Tennessee",conference,2016-10-26 20:00:00,2016-10-26 20:00:00,"['Kane Fitzgerald', 'Derrick Stafford', 'Dedric Taylor']",18119,0,29,21,26,26,[],102,0,,"['harrian01', 'gasolma01', 'conlemi01', 'greenja01', 'ennisja01', 'cartevi01', 'randoza01', 'baldwwa01', 'davisde01', 'willitr02', 'martija01', 'allento01', 'danietr01']","[0, 0]",0,916907094,70531314.92,0,32,27,16,23,[],98,0,,"['townska01', 'wiggian01', 'dienggo01', 'lavinza01', 'rubiori01', 'bjeline01', 'dunnkr01', 'rushbr01', 'muhamsh01', 'aldrico01', 'paynead01', 'jonesty01', 'hilljo01']","[0, 0]",0,726408223,55877555.62,0
201610260MIL,CHO,MIL,CHO,"BMO Harris Bradley Center, Milwaukee, Wisconsin",conference,2016-10-26 20:00:00,2016-10-26 20:00:00,"['Ken Mauer', 'Leroy Richardson', 'C.J. Washington']",18717,0,24,17,25,30,[],96,0,,"['antetgi01', 'parkeja01', 'dellama01', 'teletmi01', 'plumlmi01', 'monrogr01', 'brogdma01', 'beaslmi01', 'terryja01', 'hensojo01', 'vaughra01', 'novakst01', 'makerth01']","[0, 0]",0,729466606,56112815.85,0,32,24,27,24,[],107,0,,"['walkeke02', 'kiddgmi01', 'batumni01', 'hibbero01', 'willima02', 'belinma01', 'zelleco01', 'sessira01', 'hawessp01', 'lambje01', 'woodch01', 'harriaa01', 'grahatr01']","[0, 0]",0,906687284,69745175.69,0
